Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10,Real_Price,Log_Return
1871-01-01,4.44,0.26,0.4,12.46,5.32,109.05,6.39,9.82,0.0,109.05,
1871-02-01,4.5,0.26,0.4,12.84,5.32,107.25,6.2,9.53,0.0,107.25,-0.01664393483951167
1871-03-01,4.61,0.26,0.4,13.03,5.33,108.27,6.11,9.39,0.0,108.27,0.009465549514680413
1871-04-01,4.74,0.26,0.4,12.56,5.33,115.54,6.34,9.75,0.0,115.54,0.06498868303031269
1871-05-01,4.86,0.26,0.4,12.27,5.33,121.22,6.48,9.98,0.0,121.22,0.04799028617001938
1871-06-01,4.82,0.26,0.4,12.08,5.34,122.11,6.59,10.13,0.0,122.11,0.007315201321791598
1871-07-01,4.73,0.26,0.4,12.08,5.34,119.83,6.59,10.13,0.0,119.83,-0.01884820615050529
1871-08-01,4.79,0.26,0.4,11.89,5.34,123.29,6.69,10.3,0.0,123.29,0.028465232186036204
1871-09-01,4.84,0.26,0.4,12.18,5.35,121.66,6.54,10.05,0.0,121.66,-0.013309034987902143
1871-01-01,4.59,0.26,0.4,12.37,5.35,113.6,6.43,9.9,0.0,113.6,-0.0685467626055083
1871-11-01,4.64,0.26,0.4,12.37,5.35,114.84,6.43,9.9,0.0,114.84,0.01085634896581238
1871-12-01,4.74,0.26,0.4,12.65,5.36,114.67,6.29,9.68,0.0,114.67,-0.0014814172026501775
1872-01-01,4.86,0.26,0.4025,12.65,5.36,117.57,6.37,9.74,0.0,117.57,0.02497546282943674
1872-02-01,4.88,0.27,0.405,12.65,5.38,118.05,6.45,9.8,0.0,118.05,0.00407436265187224
1872-03-01,5.04,0.27,0.4075,12.84,5.4,120.12,6.43,9.71,0.0,120.12,0.017382979583607648
1872-04-01,5.18,0.27,0.41,13.13,5.42,120.77,6.37,9.56,0.0,120.77,0.005396667172154259
1872-05-01,5.18,0.28,0.4125,13.13,5.43,120.77,6.45,9.62,0.0,120.77,0.0
1872-06-01,5.13,0.28,0.415,13.03,5.45,120.48,6.58,9.75,0.0,120.48,-0.002404146235700323
1872-07-01,5.1,0.28,0.4175,12.84,5.47,121.55,6.75,9.95,0.0,121.55,0.008841936710548857
1872-08-01,5.04,0.29,0.42,12.94,5.49,119.24,6.78,9.94,0.0,119.24,-0.019187431952261715
1872-09-01,4.95,0.29,0.4225,13.03,5.51,116.25,6.81,9.92,0.0,116.25,-0.02539522434240499
1872-01-01,4.97,0.29,0.425,12.75,5.52,119.33,7.04,10.2,0.0,119.33,0.02614971991409871
1872-11-01,4.95,0.3,0.4275,13.13,5.54,115.41,6.92,9.97,0.0,115.41,-0.03340175894925095
1872-12-01,5.07,0.3,0.43,12.94,5.56,119.95,7.1,10.17,0.0,119.95,0.03858398385339028
1873-01-01,5.11,0.3,0.4325,12.94,5.58,120.89,7.16,10.23,0.0,120.89,0.00780605192819703
1873-02-01,5.15,0.3,0.435,13.23,5.57,119.21,7.06,10.07,0.0,119.21,-0.01399439748399039
1873-03-01,5.11,0.31,0.4375,13.23,5.56,118.28,7.12,10.13,0.0,118.28,-0.007831948745633742
1873-04-01,5.04,0.31,0.44,13.23,5.55,116.66,7.18,10.18,0.0,116.66,-0.01379097365878494
1873-05-01,5.05,0.31,0.4425,12.94,5.54,119.47,7.39,10.47,0.0,119.47,0.023801572503640782
1873-06-01,4.98,0.32,0.445,12.56,5.53,121.39,7.68,10.85,0.0,121.39,0.01594320908057995
1873-07-01,4.97,0.32,0.4475,12.56,5.52,121.14,7.74,10.91,0.0,121.14,-0.002061601356911136
1873-08-01,4.97,0.32,0.45,12.56,5.52,121.14,7.8,10.97,0.0,121.14,0.0
1873-09-01,4.59,0.32,0.4525,12.56,5.51,111.88,7.86,11.03,0.0,111.88,-0.07952003321904222
1873-01-01,4.19,0.32,0.455,12.27,5.5,104.5,8.11,11.35,0.0,104.5,-0.06823979692889322
1873-11-01,4.04,0.33,0.4575,11.89,5.49,103.99,8.43,11.78,0.0,103.99,-0.004892330732724386
1873-12-01,4.42,0.33,0.46,12.18,5.48,111.1,8.3,11.56,0.0,111.1,0.06613595597344282
1874-01-01,4.66,0.33,0.46,12.37,5.47,115.33,8.17,11.38,0.0,115.33,0.03736688759226304
1874-02-01,4.8,0.33,0.46,12.37,5.44,118.8,8.17,11.38,0.0,118.8,0.029643822690697142
1874-03-01,4.73,0.33,0.46,12.37,5.4,117.07,8.17,11.38,0.0,117.07,-0.014669360436963479
1874-04-01,4.6,0.33,0.46,12.18,5.37,115.63,8.3,11.56,0.0,115.63,-0.012376608350710612
1874-05-01,4.48,0.33,0.46,12.08,5.34,113.5,8.36,11.65,0.0,113.5,-0.018592601219413044
1874-06-01,4.46,0.33,0.46,11.8,5.3,115.72,8.56,11.94,0.0,115.72,0.01937064318647706
1874-07-01,4.46,0.33,0.46,11.89,5.27,114.8,8.49,11.84,0.0,114.8,-0.00798199622246834
1874-08-01,4.47,0.33,0.46,11.8,5.24,115.98,8.56,11.94,0.0,115.98,0.01022627856282859
1874-09-01,4.54,0.33,0.46,11.8,5.2,117.8,8.56,11.94,0.0,117.8,0.015570508769191796
1874-01-01,4.53,0.33,0.46,11.61,5.17,119.47,8.7,12.13,0.0,119.47,0.014077022611646048
1874-11-01,4.57,0.33,0.46,11.51,5.14,121.52,8.77,12.23,0.0,121.52,0.01701356445838506
1874-12-01,4.54,0.33,0.46,11.51,5.1,120.72,8.77,12.23,0.0,120.72,-0.00660504382792393
1875-01-01,4.54,0.33,0.4517,11.51,5.07,120.72,8.71,12.01,0.0,120.72,0.0
1875-02-01,4.53,0.32,0.4433,11.51,5.03,120.46,8.64,11.79,0.0,120.46,-0.0021560668440184978
1875-03-01,4.59,0.32,0.435,11.51,4.99,122.05,8.58,11.57,0.0,122.05,0.013113049223394025
1875-04-01,4.65,0.32,0.4267,11.61,4.95,122.63,8.44,11.25,0.0,122.63,0.004740894934965526
1875-05-01,4.47,0.32,0.4183,11.32,4.91,120.86,8.58,11.31,0.0,120.86,-0.014538840840522156
1875-06-01,4.38,0.32,0.41,11.13,4.87,120.45,8.66,11.27,0.0,120.45,-0.0033981218725321126
1875-07-01,4.39,0.31,0.4017,11.13,4.83,120.72,8.59,11.05,0.0,120.72,0.002239085398713007
1875-08-01,4.41,0.31,0.3933,11.23,4.79,120.25,8.45,10.72,0.0,120.25,-0.0039009054737229325
1875-09-01,4.37,0.31,0.385,11.13,4.75,120.17,8.46,10.59,0.0,120.17,-0.0006655020626621075
1875-01-01,4.3,0.3,0.3767,11.13,4.71,118.25,8.39,10.36,0.0,118.25,-0.016106379551166044
1875-11-01,4.37,0.3,0.3683,11.04,4.67,121.21,8.39,10.22,0.0,121.21,0.024723551110378196
1875-12-01,4.37,0.3,0.36,10.94,4.63,122.26,8.39,10.07,0.0,122.26,0.008625346118158758
1876-01-01,4.46,0.3,0.3533,10.85,4.59,125.88,8.47,9.97,0.0,125.88,0.029179147595626752
1876-02-01,4.52,0.3,0.3467,10.85,4.58,127.57,8.47,9.79,0.0,127.57,0.013336161353992473
1876-03-01,4.51,0.3,0.34,10.85,4.57,127.29,8.47,9.6,0.0,127.29,-0.0021972856678553563
1876-04-01,4.34,0.3,0.3333,10.75,4.56,123.57,8.54,9.49,0.0,123.57,-0.02966015076624426
1876-05-01,4.18,0.3,0.3267,10.37,4.54,123.38,8.86,9.64,0.0,123.38,-0.0015387733346064092
1876-06-01,4.15,0.3,0.32,10.09,4.53,125.97,9.11,9.71,0.0,125.97,0.020774759582719043
1876-07-01,4.1,0.3,0.3133,10.09,4.52,124.45,9.11,9.51,0.0,124.45,-0.012139754550610546
1876-08-01,3.93,0.3,0.3067,10.18,4.51,118.17,9.02,9.22,0.0,118.17,-0.05177976316267676
1876-09-01,3.69,0.3,0.3,10.28,4.5,109.93,8.94,8.94,0.0,109.93,-0.0722804660601517
1876-01-01,3.67,0.3,0.2933,10.47,4.49,107.35,8.77,8.58,0.0,107.35,-0.023749275265982524
1876-11-01,3.6,0.3,0.2867,10.56,4.47,104.35,8.7,8.31,0.0,104.35,-0.0283438908015803
1876-12-01,3.58,0.3,0.28,10.75,4.46,101.93,8.54,7.97,0.0,101.93,-0.02346433034288827
1877-01-01,3.55,0.29,0.2817,10.94,4.45,99.32,8.14,7.88,0.0,99.32,-0.025939342540355674
1877-02-01,3.34,0.28,0.2833,10.66,4.44,95.95,8.09,8.14,0.0,95.95,-0.034519738186256824
1877-03-01,3.17,0.27,0.285,10.18,4.43,95.32,8.19,8.57,0.0,95.32,-0.006587570223167685
1877-04-01,2.94,0.26,0.2867,10.47,4.42,85.99,7.7,8.39,0.0,85.99,-0.10300864180773618
1877-05-01,2.94,0.25,0.2883,10.66,4.41,84.46,7.3,8.28,0.0,84.46,-0.017952960917007665
1877-06-01,2.73,0.24,0.29,10.09,4.4,82.87,7.44,8.8,0.0,82.87,-0.01900493464484623
1877-07-01,2.85,0.24,0.2917,10.18,4.39,85.7,7.09,8.77,0.0,85.7,0.03357971074278288
1877-08-01,3.05,0.23,0.2933,9.8,4.39,95.27,7.08,9.16,0.0,95.27,0.1058621401149539
1877-09-01,3.24,0.22,0.295,9.7,4.38,102.2,6.86,9.31,0.0,102.2,0.0702167120509161
1877-01-01,3.31,0.21,0.2967,9.7,4.37,104.41,6.57,9.36,0.0,104.41,0.021393778532414878
1877-11-01,3.26,0.2,0.2983,9.51,4.36,104.89,6.41,9.6,0.0,104.89,0.004586725671493584
1877-12-01,3.25,0.19,0.3,9.51,4.35,104.57,6.11,9.65,0.0,104.57,-0.003055478363015211
1878-01-01,3.25,0.19,0.3008,9.23,4.34,107.8,6.28,9.98,0.0,107.8,0.030420954864399517
1878-02-01,3.18,0.19,0.3017,9.13,4.33,106.58,6.31,10.11,0.0,106.58,-0.011381781606260544
